ticker,31DaysAgo_price,30DaysAgo_price,29DaysAgo_price,28DaysAgo_price,27DaysAgo_price,26DaysAgo_price,25DaysAgo_price,24DaysAgo_price,23DaysAgo_price,22DaysAgo_price,21DaysAgo_price,20DaysAgo_price,19DaysAgo_price,18DaysAgo_price,17DaysAgo_price,16DaysAgo_price,15DaysAgo_price,14DaysAgo_price,13DaysAgo_price,12DaysAgo_price,11DaysAgo_price,10DaysAgo_price,9DaysAgo_price,8DaysAgo_price,7DaysAgo_price,6DaysAgo_price,5DaysAgo_price,4DaysAgo_price,3DaysAgo_price,2DaysAgo_price,1DaysAgo_price,Today_price,Day_move,Week_move,Month_move
FVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64,13.76,13.68,13.5,14.3,0.8000000000000007,0.0,0.0
HTLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.495,3.495,3.495,3.312,3.18,-0.13199999999999967,0.0,0.0
ZENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.845,5.61,5.525,5.98,5.0501,-0.9299000000000008,0.0,0.0
ZJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.2979,3.21,2.8401,2.79,-0.05010000000000003,0.0,0.0
VACHW,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.18,0.18,0.0,0.24999,0.0,0.0,0.0
VACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.46,10.48,10.48,10.47,10.48,0.009999999999999787,0.0,0.0
EQV,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39,10.4007,10.4018,10.41,10.43,0.019999999999999574,0.0,0.0
FOXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,4.28,4.23,4.24,4.67,0.4299999999999997,0.0,0.0
BKV,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.29,23.87,23.77,20.44,20.51,0.07000000000000028,0.0,0.0
BIOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.605,5.7,5.6052,5.12,7.84,2.7199999999999998,0.0,0.0
GRDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.54,23.845,24.215,23.41,28.48,5.07,0.0,0.0
IBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.43,3.3799,2.89,3.83,0.94,0.0,0.0
LGCY,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6024,9.535,9.44,9.2998,9.665,0.36519999999999975,0.0,0.0
PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,9.57,9.4662,9.8,0.3338000000000001,0.0,0.0
AMTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,25.3,25.27,23.9,22.66,-1.2399999999999984,0.0,0.0
GLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7056,0.689103,0.692799,0.6377,0.6586,0.02089999999999992,0.0,0.0
CAPNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YHNAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
